componente,frase,grupo_num,peso_semantico,lineas_disponibles,año,semestre,municipio,vereda,participantes,grupo,lineas_inversion
económico,Las principales actividades economicas de la vereda son pocos cultivos de café,2,0.873,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,Desarrollo rural
económico,Hay poca ganaderia,3,0.865,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo D,Desarrollo rural
económico,Existe un sector donde se realiza mineria,1,0.784,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Desarrollo rural
económico,"Limpian el oro en las bateas y lo venden, asi no hacen ninguna cosa con el",1,0.625,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Desarrollo rural
económico,"Las principales actividades economicas de la vereda son cultivos de café, minera y ganaderia",2,0.945,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Desarrollo rural
económico,"Las principales actividades economicas de la vereda son café, mineria con molinos y en menor medida cultivos de caña, cacao y ganaderia",2,0.942,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo C,Desarrollo rural
económico,En los molinos se genera empleo,1,0.81,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo B,"Desarrollo rural, Infraestructura comunitaria"
económico,"Las principales actividades economicas de la vereda son café, en menor medida cultivos de caña y aguacate solo para el consumo personal y la ganaderia solo 2 personas en la vereda lo manejan y es para la venta",2,0.887,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo C,Desarrollo rural
económico,"Las principales actividades economicas de la vereda son cultivos de café, platano, citricos,cacao, ganado y porcicultura",2,0.911,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo C,Desarrollo rural
económico,"Existen saberes tradicionales que se estan perdiendo como artesania, sobanderos y comida tipica y pueden generar una fuente de ingreso",0,0.897,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo A,"Desarrollo rural, Fortalecimiento comunitario"
económico,"Las principales actividades economicas de la vereda son cultivos de café, platano, en menor medida ganaderia con 3 fincas y cultivo de yuca, caña para uso familiar",2,0.903,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Amalia,2,Grupo C,Desarrollo rural
económico,En la comunidad la ganaderia no es un sector dominante solo dos familias realizan este tipo de actividad pero no es tan grande,3,0.835,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo D,Desarrollo rural
económico,El cultivo dominante es el café,2,0.856,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo C,Desarrollo rural
económico,"Tambien hay cultivo de platano y huertas para consumo familiar, se realiza de manera tradicional y cultural ya que los ancestros decian que mejoraba no solo el aspecto sino que tambien ofrecia un aspecto llamativo",0,0.744,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo A,Desarrollo rural
económico,"Hay saberes ancestrales que han ido desapareciendo como la medicina, la elaboracion de canastas y productos de empaque con elementos reutilizables y pueden ser fuentes nuevas de ingeso",0,0.871,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo A,"Desarrollo rural, Fortalecimiento comunitario"
económico,En la comunidad hay una antigua mina que esta inactiva,3,0.719,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo D,Desarrollo rural
económico,Hay generadores de empleo como fincas productoras y limpieza domestica,1,0.786,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo B,Fortalecimiento comunitario
económico,La principal fuente de ingreso es el café,2,0.813,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo C,Desarrollo rural
económico,"Para el consumo familiar hay caña de azucar, huertas caseras, pollos, gallinas y cerdos",0,0.626,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo A,Desarrollo rural
económico,Existe un taller de confecciones,1,0.695,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo B,Fortalecimiento comunitario
económico,Hay emprendimientos de transformacion del platano,1,0.754,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo B,Desarrollo rural
económico,Los saberes de plantas medicinales y elaboracion de jabones medicinales son tradiciones que se han ido perdiendo y pueden ser nuevas fuentes de ingreso,0,0.856,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo A,Fortalecimiento comunitario
social,"Hacemos parte de la vereda cabras y somos un sector donde hay aproximadamente 120 habitantes, niños 15,  niñas 20",0,0.72,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo A,"Agua y territorio, Desarrollo rural"
social,La lulera es un sector donde hay alrededor de 15 viviendas,1,0.578,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Fortalecimiento comunitario
social,"Algunos tramos de vias tienen placa huellas, otros esta un poco en mal estado",5,0.792,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo F,"Infraestructura comunitaria, Fortalecimiento comunitario"
social,No se presenta inseguridad en la zona,2,0.49,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,Fortalecimiento comunitario
social,"No contamos con instituicion educativa en el sector, los niños van a estudiar a la vereda la portada que queda cerca",2,0.682,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Educación y competitividad, Fortalecimiento comunitario"
social,"La mayoria de las casas tienen pozo septicos,  pero no todas tienen",1,0.91,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Agua y territorio
social,No hay punto vive digital con conexion de internet,2,0.595,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Educación y competitividad, Fortalecimiento comunitario"
social,En la vereda no hay canchas ni parques infantiles,2,0.636,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Infraestructura comunitaria, Fortalecimiento comunitario"
social,No hay iglesia ni capilla nos dirigimos a la vereda cabras,2,0.666,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,Fortalecimiento comunitario
social,"No hay puesto de salud, nos dirigimos al hospital en el llano en marmato",2,0.655,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Agua y territorio, Desarrollo rural"
social,"No tenemos caseta comunal, esta en proyecto y nos reunimos en la vivienda de la señora Socorro fernandez",2,0.695,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Infraestructura comunitaria, Fortalecimiento comunitario"
social,"Al no tener caseta perdemos apoyo de entidades como el Sena ya que no contamos con espacio para capacitaciones, charlas o talleres",2,0.668,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Infraestructura comunitaria, Fortalecimiento comunitario"
social,Los habitantes de la vereda son catolicos,3,0.801,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo D,Fortalecimiento comunitario
social,"Se tiene servicio publicos como agua, luz y aseo, el gas se compra en pipas en la tienda de la comunidad",4,0.848,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo E,"Agua y territorio, Desarrollo rural"
social,"No hay acueducto en la vereda, algunas casas se abastecen del acueducto de la vereda cabras, otras viviendas se abastecen de nacimientos",1,0.83,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Agua y territorio
social,"Hacemos parte de la vereda cabras y somos un sector donde hay aproximadamente 160 adultos, 13 niños, 17 niñas y hay mas hombres que mujeres",0,0.768,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo A,Fortalecimiento comunitario
social,No se cuenta con pozos septicos,2,0.601,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Agua y territorio
social,No tenemos percepcion de inseguridad,2,0.495,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Fortalecimiento comunitario
social,"No contamos con institucion educativa, los niños estudian en la sede central de la vereda cabras",2,0.671,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,"Educación y competitividad, Fortalecimiento comunitario"
social,No tenemos capilla,2,0.853,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Fortalecimiento comunitario
social,No tenemos cancha ni parque,2,0.855,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Infraestructura comunitaria
social,La mayoria de las personas son de religion catolica,3,0.841,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo D,Fortalecimiento comunitario
social,No contamos con punto vive digital,2,0.679,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,"Educación y competitividad, Infraestructura comunitaria"
social,"Tenemos servicios publicos como agua del nacimiento del sector de guayabales, energia y aseo",4,0.901,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo E,"Agua y territorio, Desarrollo rural"
social,"No tenemos puesto de salud, nos dirigimos al hospital San Antonio en el Llano en Marmato",2,0.628,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,"Desarrollo rural, Fortalecimiento comunitario"
social,"No tenemos caseta comunal, nos reunimos en la casa de la señora Rosa T",2,0.624,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Infraestructura comunitaria
social,En la vereda hay aproximadamente 150 personas con mayor presencia de hombres y 40 niños,0,0.691,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo A,Fortalecimiento comunitario
social,"Tenemos caseta comunal pero inhabilitada por deterioro, se reunen en el sector del reversadero",0,0.716,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo A,Infraestructura comunitaria
social,Tenemos la estructura del puesto de salud pero inhabilitado por deterioro,2,0.568,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo C,"Infraestructura comunitaria, Desarrollo rural"
social,Tenemos institucion educativa con internet,0,0.534,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo A,Educación y competitividad
social,Contamos con dos canchas,5,0.571,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo F,Infraestructura comunitaria
social,No contamos con parque,2,0.861,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo C,Infraestructura comunitaria
social,Las expresiones religiosas presentes en la vereda son los catolicos y adventistas,3,0.969,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo D,Fortalecimiento comunitario
social,No contamos con pozos septicos,2,0.74,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo C,Agua y territorio
social,"Contamos con servicio publico de agua de nacimiento, energia y aseo, el gas es por  pipa",4,0.938,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo E,Agua y territorio
social,"En general el estado de las vias es regular, en el sector de los molinos los dueños se encargan de arreglar la via por deterioro o desastres",5,0.703,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo F,Infraestructura comunitaria
social,No tenemos puntos de inseguridad,2,0.576,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo C,Fortalecimiento comunitario
social,Contamos con artesanas en el sector de conchari y productores pequeños de panela y miel,0,0.452,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo A,Desarrollo rural
social,"En la vereda hay aproximadamente 144 personas, 36 casas, 11 estudiantes de primaria, 4 de secundaria, 5 niños, 6 niñas y hay mas mujeres que hombres",0,0.794,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo A,Fortalecimiento comunitario
social,Los estudiantes que se graduan de quinto se trasladan a estudiar hacia la institucion educativa hojas anchas,0,0.529,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo A,Educación y competitividad
social,"La via esta en mal estado por tramos, el resto esta en carriles",5,0.82,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo F,Infraestructura comunitaria
social,"Los servicios publicos son agua de cañadas, energia y aseo",4,0.934,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo E,Agua y territorio
social,Solo algunas casas tienen pozos septicos,1,0.884,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo B,Agua y territorio
social,Tenemos institucion educativa llamada el contento con conexion a internet para ellos,0,0.608,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo A,Educación y competitividad
social,Solo 4 casas tienen conexion a internet,1,0.632,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo B,Educación y competitividad
social,Las expresiones religiosas son catolicos y adventistas,3,0.939,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo D,Fortalecimiento comunitario
social,Las peleas se dan entre vecinos por linderos o discordias,5,0.479,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo F,Fortalecimiento comunitario
social,Tenemos caseta comunal,0,0.802,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo A,Fortalecimiento comunitario
social,Las personas queman y botan las basuras en la carretera o en sus casas,5,0.672,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo F,"Agua y territorio, Fortalecimiento comunitario"
social,"En la vereda contamos con servicio de agua, energía y aseo",4,0.927,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo E,Agua y territorio
social,El internet es con datos moviles,5,0.493,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo F,Educación y competitividad
social,No tenemos parques y los niños juegan en la institucion educativa y en las casas,2,0.768,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo C,Infraestructura comunitaria
social,"Tenemos institucion educativa, caseta comunal",0,0.838,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo A,"Fortalecimiento comunitario, Educación y competitividad"
social,Algunas casa tienen pozos septicos,1,0.89,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo B,Agua y territorio
social,Las expresiones religiosas que hay son catolicos y adventistas,3,0.942,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo D,Fortalecimiento comunitario
social,Algunas viviendas tienen acueducto y el resto agua de nacimiento,1,0.815,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo B,Agua y territorio
social,La via de supia al candado esta en regular estado y del candado hacia la vereda esta en malas condiciones,5,0.804,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo F,Infraestructura comunitaria
social,"En la vereda hay aproximadamente 500 personas, 150 casas, 76 niños y mas hombres que mujeres",0,0.753,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo A,Fortalecimiento comunitario
social,"No contamos con puesto de salud, las personas van al hospital san lorenzo, hacen brigadas de salud 1 vez al año",2,0.672,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo C,Fortalecimiento comunitario
